min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;
0;2147483647;10000000;312500;32;6871.947670;1;0.000000;0.000050;5.320542;o;0.001274;0.058919;0.703600;1.307629;2.011230;1.800287;1.448761;
0;2147483647;10000000;303031;33;7086.679736;1;0.000000;0.000139;5.003182;o;0.001878;0.055572;0.728717;1.305686;2.034404;1.626623;1.284547;
0;2147483647;10000000;294118;34;7301.435638;1;0.000000;0.000116;6.021656;o;0.001706;0.056481;0.714510;1.601964;2.316475;2.132581;1.514276;
0;2147483647;10000000;285715;35;7516.173974;1;0.000000;0.000118;5.332204;o;0.001679;0.055567;0.661966;1.336137;1.998104;1.901354;1.375360;
0;2147483647;10000000;277778;36;7730.934944;1;0.000000;0.000033;5.306352;o;0.000981;0.055779;0.695551;1.288155;1.983707;1.747610;1.518222;
0;2147483647;10000000;270271;37;7945.668041;1;0.000000;0.000112;5.888423;o;0.001573;0.055961;0.714932;1.324896;2.039829;1.959960;1.830969;
0;2147483647;10000000;263158;38;8160.434594;1;0.000000;0.000114;5.369828;o;0.001508;0.064540;0.643422;1.275925;1.919348;1.664256;1.720044;
0;2147483647;10000000;256411;39;8375.161935;1;0.000000;0.000106;5.392765;o;0.001475;0.058806;0.615588;1.497535;2.113124;1.816637;1.402588;
0;2147483647;10000000;250000;40;8589.934588;1;0.000000;0.000104;5.247084;o;0.001441;0.059518;0.720186;1.333283;2.053470;1.757059;1.375472;
0;2147483647;10000000;243903;41;8804.662702;1;0.000000;0.000097;4.989001;o;0.001340;0.058173;0.633663;1.280710;1.914374;1.693738;1.321259;
0;2147483647;10000000;238096;42;9019.402455;1;0.000000;0.000096;5.091774;o;0.001264;0.057363;0.688311;1.331787;2.020099;1.703745;1.309188;
0;2147483647;10000000;232559;43;9234.145516;1;0.000000;0.000170;5.141610;o;0.001864;0.062696;0.664978;1.334969;1.999949;1.777180;1.299731;
0;2147483647;10000000;227273;44;9448.916708;1;0.000001;0.000075;5.160817;o;0.001337;0.058989;0.605121;1.324774;1.929897;1.772896;1.397593;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000430;3.478543;o;0.057303;0.068113;1.247571;0.748289;1.995861;0.690844;0.665971;
